Customer_ID,User_Name,Product_Name,Product_ID,User_ID,Facebook_ID,Comment,Sentiment,Sentimental_Score,Rating
cous__.01,Mira,prod__.01,PID005001,https://www.facebook.com/vukkarvibes,1397040301788260,Not satisfied.,Neutral,0.0,5
cous__.02,Sita,prod__.02,PID005002,https://www.facebook.com/vukkarvibes,1397040301788261,"Not good, expected better.",Negative,-0.674,1
cous__.03,Rohan,prod__.03,PID005003,https://www.facebook.com/vukkarvibes,1397040301788262,"Not good, expected better.",Positive,0.885,5
cous__.04,Priya,prod__.04,PID005004,https://www.facebook.com/vukkarvibes,1397040301788263,Fresh and tasty.,Neutral,0.0,2
cous__.05,Sneha,prod__.05,PID005005,https://www.facebook.com/vukkarvibes,1397040301788264,Fresh and tasty.,Positive,0.885,4
cous__.06,Amit,prod__.06,PID005006,https://www.facebook.com/vukkarvibes,1397040301788265,"Not good, expected better.",Negative,-0.674,5
cous__.07,Mira,prod__.07,PID005007,https://www.facebook.com/vukkarvibes,1397040301788266,Not satisfied.,Neutral,0.0,2
cous__.08,Divya,prod__.08,PID005008,https://www.facebook.com/vukkarvibes,1397040301788267,Highly recommended!,Negative,-0.674,2
cous__.09,Arjun,prod__.09,PID005009,https://www.facebook.com/vukkarvibes,1397040301788268,Worth the price.,Positive,0.885,3
cous__.10,Kunal,prod__.10,PID005010,https://www.facebook.com/vukkarvibes,1397040301788269,Very delicious!,Neutral,0.0,3
cous__.11,Priya,prod__.11,PID005011,https://www.facebook.com/vukkarvibes,1397040301788270,Worth the price.,Neutral,0.0,2
cous__.12,Mira,prod__.12,PID005012,https://www.facebook.com/vukkarvibes,1397040301788271,"Too spicy, not for me.",Negative,-0.674,4
cous__.13,Rohan,prod__.13,PID005013,https://www.facebook.com/vukkarvibes,1397040301788272,Average experience.,Negative,-0.674,2
cous__.14,Amit,prod__.14,PID005014,https://www.facebook.com/vukkarvibes,1397040301788273,Worth the price.,Neutral,0.0,1
cous__.15,Meera,prod__.15,PID005015,https://www.facebook.com/vukkarvibes,1397040301788274,Very delicious!,Neutral,0.0,3
cous__.16,Rohan,prod__.16,PID005016,https://www.facebook.com/vukkarvibes,1397040301788275,Not satisfied.,Negative,-0.674,2
cous__.17,Varun,prod__.17,PID005017,https://www.facebook.com/vukkarvibes,1397040301788276,"Too spicy, not for me.",Positive,0.885,5
cous__.18,Priya,prod__.18,PID005018,https://www.facebook.com/vukkarvibes,1397040301788277,Loved the taste!,Neutral,0.0,4
cous__.19,Aditya,prod__.19,PID005019,https://www.facebook.com/vukkarvibes,1397040301788278,Very delicious!,Negative,-0.674,5
cous__.20,Kunal,prod__.20,PID005020,https://www.facebook.com/vukkarvibes,1397040301788279,"Too spicy, not for me.",Positive,0.885,3
cous__.21,Amit,prod__.21,PID005021,https://www.facebook.com/vukkarvibes,1397040301788280,Worth the price.,Neutral,0.0,1
cous__.22,Meera,prod__.22,PID005022,https://www.facebook.com/vukkarvibes,1397040301788281,"Too spicy, not for me.",Neutral,0.0,2
cous__.23,Sneha,prod__.23,PID005023,https://www.facebook.com/vukkarvibes,1397040301788282,Fresh and tasty.,Neutral,0.0,5
cous__.24,Aditya,prod__.24,PID005024,https://www.facebook.com/vukkarvibes,1397040301788283,Highly recommended!,Neutral,0.0,1
cous__.25,Amit,prod__.25,PID005025,https://www.facebook.com/vukkarvibes,1397040301788284,Bad packaging.,Neutral,0.0,5
cous__.26,Kiran,prod__.26,PID005026,https://www.facebook.com/vukkarvibes,1397040301788285,"Not good, expected better.",Positive,0.885,4
cous__.27,Priya,prod__.27,PID005027,https://www.facebook.com/vukkarvibes,1397040301788286,Bad packaging.,Positive,0.885,5
cous__.28,Rohan,prod__.28,PID005028,https://www.facebook.com/vukkarvibes,1397040301788287,"Not good, expected better.",Neutral,0.0,3
cous__.29,Arjun,prod__.29,PID005029,https://www.facebook.com/vukkarvibes,1397040301788288,Very delicious!,Negative,-0.674,2
cous__.30,Suman,prod__.30,PID005030,https://www.facebook.com/vukkarvibes,1397040301788289,Not satisfied.,Positive,0.885,2
cous__.31,Aditya,prod__.31,PID005031,https://www.facebook.com/vukkarvibes,1397040301788290,Fresh and tasty.,Positive,0.885,2
cous__.32,Kunal,prod__.32,PID005032,https://www.facebook.com/vukkarvibes,1397040301788291,"Too spicy, not for me.",Negative,-0.674,4
cous__.33,Amit,prod__.33,PID005033,https://www.facebook.com/vukkarvibes,1397040301788292,Fresh and tasty.,Negative,-0.674,1
cous__.34,Mira,prod__.34,PID005034,https://www.facebook.com/vukkarvibes,1397040301788293,Bad packaging.,Positive,0.885,1
cous__.35,Meera,prod__.35,PID005035,https://www.facebook.com/vukkarvibes,1397040301788294,Average experience.,Neutral,0.0,2
cous__.36,Kiran,prod__.36,PID005036,https://www.facebook.com/vukkarvibes,1397040301788295,"Not good, expected better.",Negative,-0.674,5
cous__.37,Divya,prod__.37,PID005037,https://www.facebook.com/vukkarvibes,1397040301788296,Fresh and tasty.,Positive,0.885,5
